,make,body_style,engine_location,aspiration,drive_wheels,wheel_base,width,curb_weight,engine_size,bore,horsepower,price
0,alfa-romero,convertible,front,std,rwd,88.6,64.1,2548,130,3.47,111.0,13495.0
1,alfa-romero,convertible,front,std,rwd,88.6,64.1,2548,130,3.47,111.0,16500.0
2,alfa-romero,hatchback,front,std,rwd,94.5,65.5,2823,152,2.68,154.0,16500.0
3,audi,sedan,front,std,fwd,99.8,66.2,2337,109,3.19,102.0,13950.0
4,audi,sedan,front,std,4wd,99.4,66.4,2824,136,3.19,115.0,17450.0
5,audi,sedan,front,std,fwd,99.8,66.3,2507,136,3.19,110.0,15250.0
6,audi,sedan,front,std,fwd,105.8,71.4,2844,136,3.19,110.0,17710.0
7,audi,wagon,front,std,fwd,105.8,71.4,2954,136,3.19,110.0,18920.0
8,audi,sedan,front,turbo,fwd,105.8,71.4,3086,131,3.13,140.0,23875.0
9,bmw,sedan,front,std,rwd,101.2,64.8,2395,108,3.5,101.0,16430.0
10,bmw,sedan,front,std,rwd,101.2,64.8,2395,108,3.5,101.0,16925.0
11,bmw,sedan,front,std,rwd,101.2,64.8,2710,164,3.31,121.0,20970.0
12,bmw,sedan,front,std,rwd,101.2,64.8,2765,164,3.31,121.0,21105.0
13,bmw,sedan,front,std,rwd,103.5,66.9,3055,164,3.31,121.0,24565.0
14,bmw,sedan,front,std,rwd,103.5,66.9,3230,209,3.62,182.0,30760.0
15,bmw,sedan,front,std,rwd,103.5,67.9,3380,209,3.62,182.0,41315.0
16,bmw,sedan,front,std,rwd,110.0,70.9,3505,209,3.62,182.0,36880.0
17,chevrolet,hatchback,front,std,fwd,88.4,60.3,1488,61,2.91,48.0,5151.0
18,chevrolet,hatchback,front,std,fwd,94.5,63.6,1874,90,3.03,70.0,6295.0
19,chevrolet,sedan,front,std,fwd,94.5,63.6,1909,90,3.03,70.0,6575.0
20,dodge,hatchback,front,std,fwd,93.7,63.8,1876,90,2.97,68.0,5572.0
21,dodge,hatchback,front,std,fwd,93.7,63.8,1876,90,2.97,68.0,6377.0
22,dodge,hatchback,front,turbo,fwd,93.7,63.8,2128,98,3.03,102.0,7957.0
23,dodge,hatchback,front,std,fwd,93.7,63.8,1967,90,2.97,68.0,6229.0
24,dodge,sedan,front,std,fwd,93.7,63.8,1989,90,2.97,68.0,6692.0
25,dodge,sedan,front,std,fwd,93.7,63.8,1989,90,2.97,68.0,7609.0
26,dodge,sedan,front,turbo,fwd,93.7,63.8,2191,98,3.03,102.0,8558.0
27,dodge,wagon,front,std,fwd,103.3,64.6,2535,122,3.34,88.0,8921.0
28,dodge,hatchback,front,turbo,fwd,95.9,66.3,2811,156,3.6,145.0,12964.0
29,honda,hatchback,front,std,fwd,86.6,63.9,1713,92,2.91,58.0,6479.0
30,honda,hatchback,front,std,fwd,86.6,63.9,1819,92,2.91,76.0,6855.0
31,honda,hatchback,front,std,fwd,93.7,64.0,1837,79,2.91,60.0,5399.0
32,honda,hatchback,front,std,fwd,93.7,64.0,1940,92,2.91,76.0,6529.0
33,honda,hatchback,front,std,fwd,93.7,64.0,1956,92,2.91,76.0,7129.0
34,honda,sedan,front,std,fwd,96.5,64.0,2010,92,2.91,76.0,7295.0
35,honda,wagon,front,std,fwd,96.5,63.9,2024,92,2.92,76.0,7295.0
36,honda,hatchback,front,std,fwd,96.5,65.2,2236,110,3.15,86.0,7895.0
37,honda,hatchback,front,std,fwd,96.5,65.2,2289,110,3.15,86.0,9095.0
38,honda,sedan,front,std,fwd,96.5,65.2,2304,110,3.15,86.0,8845.0
39,honda,sedan,front,std,fwd,96.5,62.5,2372,110,3.15,86.0,10295.0
40,honda,sedan,front,std,fwd,96.5,65.2,2465,110,3.15,101.0,12945.0
41,honda,sedan,front,std,fwd,96.5,66.0,2293,110,3.15,100.0,10345.0
42,isuzu,sedan,front,std,rwd,94.3,61.8,2337,111,3.31,78.0,6785.0
